raiders,6,hometeam,seahawks,london
jaguars,7,hometeam,eagles,london
chargers,8,hometeam,titans,london
rams,9,hometeam,chiefs,mexico
patriots,4,bye
chiefs,4,bye
eagles,4,bye
falcons,4,bye
saints,5,bye
steelers,5,bye
ravens,6,bye
bengals,6,bye
panthers,6,bye
buccaneers,6,bye
seahawks,7,bye
raiders,7,bye
jaguars,8,bye
colts,8,bye
chargers,9,bye
bills,9,bye
cowboys,9,bye
lions,9,bye
titans,10,bye
dolphins,10,bye
49ers,10,bye
cardinals,10,bye
rams,10,bye
vikings,10,bye
packers,12,bye
bears,12,bye
redskins,12,bye
giants,12,bye
broncos,13,bye
browns,13,bye
jets,13,bye
texans,13,bye
broncos,1,hometeam,chiefs
broncos,17,hometeam,chargers
raiders,17,hometeam,chiefs
steelers,2,hometeam,browns
steelers,16,hometeam,patriots
ravens,2,hometeam,bengals
ravens,17,hometeam,steelers
bengals,16,hometeam,ravens
browns,14,hometeam,steelers
jaguars,1,hometeam,patriots
jaguars,16,hometeam,titans
titans,2,hometeam,jaguars
colts,1,hometeam,texans
texans,17,hometeam,jaguars
patriots,3,hometeam,jets
patriots,15,hometeam,packers
bills,16,hometeam,jets
bills,17,hometeam,patriots
dolphins,1,hometeam,raiders
dolphins,2,hometeam,patriots
dolphins,15,hometeam,jaguars
jets,17,hometeam,dolphins
saints,2,hometeam,panthers
panthers,17,hometeam,saints
falcons,1,hometeam,panthers
buccaneers,1,hometeam,saints
rams,1,hometeam,chargers
rams,2,hometeam,49ers
seahawks,1,hometeam,cardinals
seahawks,2,hometeam,cowboys
seahawks,16,hometeam,packers
seahawks,17,hometeam,49ers
49ers,16,hometeam,rams
vikings,17,hometeam,lions
lions,1,hometeam,packers
lions,11,hometeam,patriots
packers,14,hometeam,falcons
packers,17,hometeam,bears
bears,14,hometeam,patriots
bears,16,hometeam,buccaneers
eagles,1,hometeam,cowboys
eagles,15,hometeam,giants
cowboys,11,hometeam,saints
cowboys,12,hometeam,lions
cowboys,17,hometeam,giants
redskins,17,hometeam,eagles
giants,1,hometeam,redskins
giants,3,hometeam,eagles
all,17,division
